time,ax,ay,az,wx,wy,wz,
0.002,-0.56,0.41,-0.81,-0.13,-0.51,0.07,
0.003,-0.56,0.41,-0.81,-0.19,-0.57,0.09,
0.004,-0.56,0.41,-0.81,-0.24,-0.62,0.11,
0.004,-0.57,0.40,-0.61,-0.24,-0.62,0.11,
0.005,-0.57,0.40,-0.61,-0.29,-0.66,0.12,
0.005,-0.57,0.40,-0.61,-0.33,-0.69,0.13,
0.006,-0.57,0.40,-0.39,-0.33,-0.69,0.13,
0.006,-0.57,0.40,-0.39,-0.36,-0.71,0.14,
0.007,-0.57,0.40,-0.39,-0.39,-0.72,0.14,
0.015,-0.51,0.34,-0.20,-0.39,-0.72,0.14,
0.015,-0.51,0.34,-0.20,-0.41,-0.72,0.15,
0.016,-0.51,0.34,-0.20,-0.42,-0.72,0.15,
0.016,-0.42,0.29,-0.08,-0.42,-0.72,0.15,
0.016,-0.42,0.29,-0.08,-0.43,-0.72,0.15,
0.017,-0.42,0.29,-0.08,-0.43,-0.71,0.15,
0.017,-0.29,0.22,-0.01,-0.43,-0.71,0.15,
0.018,-0.29,0.22,-0.01,-0.43,-0.69,0.15,
0.026,-0.29,0.22,-0.01,-0.43,-0.67,0.15,
0.027,-0.21,0.14,0.02,-0.43,-0.67,0.15,
0.027,-0.21,0.14,0.02,-0.43,-0.66,0.15,
0.027,-0.21,0.14,0.02,-0.42,-0.64,0.15,
0.027,-0.15,0.05,0.10,-0.42,-0.64,0.15,
0.028,-0.15,0.05,0.10,-0.41,-0.62,0.15,
0.031,-0.15,0.05,0.10,-0.41,-0.60,0.15,
0.033,-0.09,-0.05,0.16,-0.41,-0.60,0.15,
0.033,-0.09,-0.05,0.16,-0.40,-0.59,0.15,
0.035,-0.09,-0.05,0.16,-0.39,-0.58,0.15,
0.039,-0.00,-0.16,0.23,-0.39,-0.58,0.15,
0.04,-0.00,-0.16,0.23,-0.38,-0.57,0.14,
0.04,-0.00,-0.16,0.23,-0.38,-0.56,0.14,
0.043,0.14,-0.25,0.20,-0.38,-0.56,0.14,
0.043,0.14,-0.25,0.20,-0.37,-0.55,0.14,
0.044,0.14,-0.25,0.20,-0.36,-0.55,0.14,
0.05,0.27,-0.31,0.09,-0.36,-0.55,0.14,
0.05,0.27,-0.31,0.09,-0.35,-0.54,0.13,
0.051,0.27,-0.31,0.09,-0.35,-0.53,0.13,
0.051,0.32,-0.33,-0.08,-0.35,-0.53,0.13,
0.052,0.32,-0.33,-0.08,-0.35,-0.51,0.12,
0.055,0.32,-0.33,-0.08,-0.35,-0.49,0.12,
0.057,0.33,-0.34,-0.28,-0.35,-0.49,0.12,
0.058,0.33,-0.34,-0.28,-0.35,-0.47,0.12,
0.061,0.33,-0.34,-0.28,-0.35,-0.46,0.12,
0.062,0.29,-0.29,-0.43,-0.35,-0.46,0.12,
0.062,0.29,-0.29,-0.43,-0.35,-0.44,0.12,
0.066,0.29,-0.29,-0.43,-0.36,-0.42,0.13,
0.067,0.19,-0.19,-0.50,-0.36,-0.42,0.13,
0.067,0.19,-0.19,-0.50,-0.36,-0.41,0.14,
0.07,0.19,-0.19,-0.50,-0.37,-0.40,0.14,
0.074,0.05,-0.09,-0.48,-0.37,-0.40,0.14,
0.075,0.05,-0.09,-0.48,-0.38,-0.39,0.15,
0.076,0.05,-0.09,-0.48,-0.39,-0.38,0.16,
0.078,0.05,-0.09,-0.48,-0.39,-0.38,0.17,
0.079,-0.02,0.02,-0.36,-0.39,-0.38,0.17,
0.079,-0.02,0.02,-0.36,-0.40,-0.39,0.19,
0.084,-0.07,0.08,-0.23,-0.40,-0.39,0.19,
0.085,-0.07,0.08,-0.23,-0.41,-0.40,0.20,
