time,ax,ay,az,wx,wy,wz,
0.002,-0.40,0.39,-0.49,-0.30,-0.55,0.16,
0.002,-0.40,0.39,-0.49,-0.34,-0.56,0.16,
0.003,-0.40,0.39,-0.49,-0.37,-0.57,0.16,
0.003,-0.30,0.33,-0.20,-0.37,-0.57,0.16,
0.004,-0.30,0.33,-0.20,-0.40,-0.57,0.16,
0.004,-0.30,0.33,-0.20,-0.41,-0.57,0.16,
0.005,-0.21,0.29,0.12,-0.41,-0.57,0.16,
0.01,-0.21,0.29,0.12,-0.42,-0.57,0.16,
0.011,-0.21,0.29,0.12,-0.42,-0.57,0.16,
0.011,-0.16,0.25,0.35,-0.42,-0.57,0.16,
0.012,-0.16,0.25,0.35,-0.42,-0.56,0.17,
0.012,-0.16,0.25,0.35,-0.41,-0.56,0.17,
0.013,-0.07,0.18,0.46,-0.41,-0.56,0.17,
0.013,-0.07,0.18,0.46,-0.39,-0.56,0.17,
0.014,-0.07,0.18,0.46,-0.38,-0.55,0.18,
0.019,0.03,0.12,0.52,-0.38,-0.55,0.18,
0.019,0.03,0.12,0.52,-0.36,-0.54,0.18,
0.02,0.03,0.12,0.52,-0.34,-0.54,0.19,
0.031,0.03,0.12,0.52,-0.31,-0.53,0.19,
0.032,0.14,0.05,0.62,-0.31,-0.53,0.19,
0.032,0.14,0.05,0.62,-0.29,-0.53,0.19,
0.033,0.24,0.01,0.68,-0.29,-0.53,0.19,
0.033,0.24,0.01,0.68,-0.26,-0.52,0.19,
0.034,0.24,0.01,0.68,-0.23,-0.52,0.19,
0.034,0.28,-0.04,0.71,-0.23,-0.52,0.19,
0.035,0.28,-0.04,0.71,-0.20,-0.51,0.19,
0.035,0.28,-0.04,0.71,-0.17,-0.50,0.19,
0.044,0.25,-0.06,0.69,-0.17,-0.50,0.19,
0.045,0.25,-0.06,0.69,-0.14,-0.49,0.19,
0.046,0.25,-0.06,0.69,-0.11,-0.48,0.19,
0.046,0.24,-0.09,0.63,-0.11,-0.48,0.19,
0.047,0.24,-0.09,0.63,-0.08,-0.48,0.19,
0.047,0.24,-0.09,0.63,-0.05,-0.47,0.19,
0.048,0.26,-0.09,0.52,-0.05,-0.47,0.19,
0.048,0.26,-0.09,0.52,-0.03,-0.47,0.19,
0.05,0.26,-0.09,0.52,-0.00,-0.46,0.19,
0.055,0.28,-0.13,0.36,-0.00,-0.46,0.19,
0.056,0.28,-0.13,0.36,0.02,-0.46,0.19,
0.057,0.28,-0.13,0.36,0.04,-0.45,0.19,
0.057,0.28,-0.17,0.19,0.04,-0.45,0.19,
0.058,0.28,-0.17,0.19,0.05,-0.44,0.19,
0.061,0.28,-0.17,0.19,0.07,-0.43,0.18,
0.063,0.18,-0.18,0.05,0.07,-0.43,0.18,
0.064,0.18,-0.18,0.05,0.08,-0.43,0.18,
0.064,0.18,-0.18,0.05,0.09,-0.42,0.18,
0.067,0.07,-0.18,-0.02,0.09,-0.42,0.18,
0.067,0.07,-0.18,-0.02,0.09,-0.42,0.18,
0.07,0.07,-0.18,-0.02,0.10,-0.42,0.18,
0.075,-0.04,-0.13,-0.09,0.10,-0.42,0.18,
0.075,-0.04,-0.13,-0.09,0.09,-0.43,0.18,
0.076,-0.04,-0.13,-0.09,0.09,-0.43,0.18,
0.078,-0.04,-0.13,-0.09,0.09,-0.44,0.18,
0.079,-0.11,-0.06,-0.20,0.09,-0.44,0.18,
0.081,-0.11,-0.06,-0.20,0.08,-0.44,0.18,
0.083,-0.17,0.04,-0.35,0.08,-0.44,0.18,
0.084,-0.17,0.04,-0.35,0.06,-0.45,0.18,
0.086,-0.17,0.04,-0.35,0.05,-0.46,0.18,
0.089,-0.24,0.16,-0.44,0.05,-0.46,0.18,
0.089,-0.24,0.16,-0.44,0.03,-0.47,0.19,
0.091,-0.24,0.16,-0.44,0.01,-0.49,0.19,
0.092,-0.42,0.36,-0.41,0.01,-0.49,0.19,
0.093,-0.42,0.36,-0.41,-0.01,-0.51,0.20,
0.095,-0.42,0.36,-0.41,-0.04,-0.53,0.21,
0.098,-0.62,0.54,-0.38,-0.04,-0.53,0.21,
0.098,-0.62,0.54,-0.38,-0.06,-0.55,0.22,
0.1,-0.62,0.54,-0.38,-0.09,-0.57,0.24,
0.105,-0.61,0.51,-0.41,-0.09,-0.57,0.24,
0.105,-0.61,0.51,-0.41,-0.11,-0.58,0.24,
0.106,-0.61,0.51,-0.41,-0.14,-0.60,0.26,
0.109,-0.46,0.31,-0.34,-0.14,-0.60,0.26,
0.11,-0.46,0.31,-0.34,-0.17,-0.62,0.26,
0.111,-0.46,0.31,-0.34,-0.19,-0.65,0.26,
0.113,-0.55,0.28,-0.36,-0.19,-0.65,0.26,
0.114,-0.55,0.28,-0.36,-0.22,-0.66,0.27,
0.115,-0.55,0.28,-0.36,-0.25,-0.65,0.28,
0.117,-0.83,0.62,-1.19,-0.25,-0.65,0.28,
0.118,-0.83,0.62,-1.19,-0.28,-0.62,0.30,
0.132,-0.83,0.62,-1.19,-0.31,-0.60,0.31,
0.133,-0.78,0.77,-1.09,-0.31,-0.60,0.31,
0.134,-0.78,0.77,-1.09,-0.35,-0.59,0.31,
0.134,-0.78,0.77,-1.09,-0.37,-0.60,0.33,
0.135,-0.85,0.76,-0.33,-0.37,-0.60,0.33,
0.135,-0.85,0.76,-0.33,-0.40,-0.61,0.34,
0.136,-0.85,0.76,-0.33,-0.42,-0.64,0.35,
0.137,-0.91,0.67,0.19,-0.42,-0.64,0.35,
0.137,-0.91,0.67,0.19,-0.43,-0.66,0.36,
0.138,-0.91,0.67,0.19,-0.45,-0.69,0.37,
0.138,-0.84,0.57,0.24,-0.45,-0.69,0.37,
0.139,-0.84,0.57,0.24,-0.47,-0.71,0.39,
0.14,-0.84,0.57,0.24,-0.49,-0.73,0.40,
0.148,-0.67,0.45,-0.04,-0.49,-0.73,0.40,
0.149,-0.67,0.45,-0.04,-0.51,-0.74,0.41,
0.15,-0.67,0.45,-0.04,-0.53,-0.74,0.41,
0.15,-0.45,0.31,-0.44,-0.53,-0.74,0.41,
0.151,-0.45,0.31,-0.44,-0.55,-0.73,0.41,
0.151,-0.45,0.31,-0.44,-0.58,-0.72,0.41,
0.152,-0.24,0.24,-0.71,-0.58,-0.72,0.41,
0.153,-0.24,0.24,-0.71,-0.61,-0.70,0.40,
0.162,-0.24,0.24,-0.71,-0.63,-0.68,0.39,
0.163,-0.20,0.27,-0.61,-0.63,-0.68,0.39,
0.169,-0.20,0.27,-0.61,-0.66,-0.66,0.38,
0.169,-0.20,0.27,-0.61,-0.67,-0.65,0.38,
0.17,-0.32,0.35,-0.17,-0.67,-0.65,0.38,
0.17,-0.32,0.35,-0.17,-0.69,-0.64,0.38,
0.171,-0.32,0.35,-0.17,-0.71,-0.63,0.38,
0.171,-0.26,0.30,-0.24,-0.71,-0.63,0.38,
0.172,-0.26,0.30,-0.24,-0.72,-0.61,0.38,
0.172,-0.26,0.30,-0.24,-0.73,-0.58,0.38,
