ax,ay,az
0.92,0.14,-0.63
0.54,0.17,-1.27
-0.01,0.38,-1.46
-0.16,0.28,-1.41
-0.04,-0.08,-1.17
0.15,-0.38,-1.42
0.49,-0.53,-1.7
0.71,-0.68,-2.05
0.68,-0.22,-2.38
0.76,-0.42,-2.53
0.51,-0.62,-2.28
0.71,-0.49,-2.11
0.5,-0.67,-2.12
-0.01,-1.03,-2.26
-0.35,-1.07,-2.82
0.54,-3.93,-3.03
1.3,-5.99,-3.04
0.11,-4.58,-3.28
-2.18,-1.93,-2.67
-4.76,0.43,-2.79
-3.8,-0.38,-2.9
-1.48,-2.83,-1.57
0.99,-4.41,2.19
2.93,-4.22,6.13
4.41,-2.97,8.72
3.71,-0.99,7.24
2.3,0.55,2.94
1.89,-0.45,-0.23
0.91,-0.76,-1.29
-0.97,-0.93,-1.02
-2.09,-0.15,0.65
-1.99,0.45,2.65
-0.39,1.22,2.45
1.56,0.32,1.7
2.04,-0.85,2.36
1.35,-0.25,1.99
0.23,1.2,1.24
0.73,1.94,1.52
1.22,1.35,2.23
1.73,1.15,2.54
0.96,0.85,1.56
0.75,0.95,0.84
0.48,0.88,0.83
0.17,1.4,1.17
0.39,1.91,1.05
0.52,1.61,0.85
0.32,1.19,0.71
0.15,1.12,0.82
0.54,1.15,0.54
-1.42,1.47,-3.21
-3.55,-4.69,-10.71
-1.13,-5.72,2.84
0.93,0.69,-1.12
-3.24,3.32,2.36
-1.89,0.51,0.56
0.79,-3.09,0.46
0.97,-4.73,2.04
-0.36,-4.02,2.91
0.31,-2.73,2.43
1.34,-1.11,1.78
0.88,-0.13,1.19
0.68,-0.05,1.59
1.76,-0.76,1.91
2.48,-1.55,1.16
2.6,-1.64,2.19
1.82,-0.75,1.52
0.53,0.97,1.54
-0.79,1.8,0.94
-1.77,2.24,1.04
-2.27,2.3,0.92
-1.49,0.82,-0.15
-0.28,-0.28,-1.19
0.63,-0.29,-1.21
-0.21,0.69,-1.05
-0.53,0.92,-1.38
0.74,0.26,-1.45
1.43,-0.61,-1.52
0.92,-0.7,-1.5
0.16,-0.28,-1.34
-0.08,0.1,-0.25
0.46,0.59,-0.06
1.78,0.5,0.66
1.4,-0.04,0.78
0.58,0.45,0.43
0.65,0.41,-0.29
0.56,-0.55,-0.48
0.09,-1.11,-0.59
0.03,-1.2,-0.96
0.53,-1.5,-0.7
0.58,-2.87,-0.46
0.9,-4.51,0.42
0.6,-5.2,-0.46
-1.31,-4.75,-0.54
-2.71,-2.9,-0.93
-2.39,-1.76,-2.12
-0.34,-1.64,-2.65
0.66,-1.86,-3.13
0.73,-2.27,-3.61
1.42,-2.33,-3.99
1.77,-1.56,-3.71
1.77,-0.5,-2.38
1.22,0.45,-0.54
0.39,0.22,4.25
-0.41,0.31,7.57
-1.48,1.25,6.16
-1.33,1.47,4.05
-0.63,2.35,1.45
0.5,3.43,0.11
1.61,3.02,0.9
0.85,0.7,0.36
0.32,-1.26,1.66
0.33,-2.19,2.28
0.71,-1.59,2.33
0.46,-0.42,1.94
-0.01,0.52,1.4
1.12,0.05,0.94
0.45,0.25,0.71
0.55,0.13,0.97
0.71,0.58,1.52
0.19,0.86,2.01
0.04,0.92,1.97
0.7,0.72,1.73
0.41,0.69,1.59
0.65,0.44,1.58
0.53,0.82,1.42
0.68,0.99,1.37
0.68,1.16,1.35
0.32,1.36,1.18
0.16,1.49,0.83
-0.08,1.47,-0.82
-2.7,-0.36,-10.3
-0.15,-3.46,2.68
-0.75,1.16,2.04
-0.3,-0.63,-1.19
-3.88,-0.76,-0.82
2.14,-2.47,-2.87
0.64,-2.8,-0.46
-0.8,-2.75,0.79
-0.17,-3.08,-0.55
-0.08,-3.27,-0.6
0.4,-2.18,0.64
0.46,-0.82,1.3
1.77,-0.4,1.92
2.49,-0.13,1.69
2.17,0.44,1.28
1.16,0.85,0.64
0.26,0.75,0.54
0.34,0.68,0.79
0.84,0.94,0.7
0.88,1.53,0.05
-0.31,2.1,-0.73
-1.09,1.93,0.2
-1.7,2.05,0.11
-0.98,1.32,-0.39
0.29,-0.27,-0.96
1.08,-0.59,-2.13
0.89,-0.25,-2.13
0.69,-0.21,-1.22
0.18,0.41,-0.61
0.01,0.08,-0.32
0.21,-0.1,-0.26
0.76,0.08,-0.61
0.84,-0.06,-0.53
0.55,0.21,-0.21
0.08,0.75,-0.21
-0.17,0.51,-0.5
-0.17,0.26,-0.86
-0.58,0.09,-1.06
-0.74,-0.14,-1.35
-0.07,-0.23,-1.62
0.49,-0.79,-1.7
0.16,-1.13,-1.46
-0.15,-1.48,-1.75
1.56,-1.73,0.26
2.99,-2.41,0.49
2.33,-3.76,1.89
-0.83,-4.08,2.01
-3.64,-3.71,0.55
-2.73,-4.0,-1.87
-0.89,-3.78,-3.25
0.28,-3.16,-2.83
0.3,-2.41,-2.1
-0.14,-2.07,-2.01
-0.7,-2.19,-2.12
-0.13,-2.64,-1.45
1.4,-1.15,-1.96
2.28,0.93,-1.82
1.58,2.63,-0.59
0.23,3.55,1.69
0.68,2.94,4.21
1.51,1.85,5.34
0.88,1.11,5.12
-0.67,1.92,3.57
-1.13,2.13,1.74
-0.53,1.79,0.51
-0.21,1.0,0.33
-0.13,0.21,0.96
-0.12,-0.84,1.43
0.24,-1.54,1.59
0.46,-1.58,0.59
0.56,-0.87,0.05
-0.25,0.31,0.59
-0.42,0.74,1.34
0.09,0.74,1.79
0.38,0.88,1.66
0.3,0.69,1.53
0.27,0.73,1.45
0.34,0.74,1.5
0.39,0.9,1.5
0.61,1.23,1.2
0.63,1.19,1.27
0.43,1.41,1.39
0.39,1.58,1.58
0.51,1.61,1.22
-0.96,2.01,-3.1
-2.02,-0.14,-8.28
0.36,-3.66,-1.45
-0.55,-0.72,5.04
0.26,0.99,-1.34
-6.77,-1.4,1.43
0.86,-3.74,-2.36
0.52,-3.24,-0.48
-1.56,-3.39,1.46
-0.1,-3.51,0.29
1.51,-3.33,-0.6
1.76,-2.09,0.67
1.19,-0.47,1.37
1.44,0.92,1.63
1.35,1.59,0.84
0.78,1.41,0.52
-0.34,0.8,0.44
-0.79,0.63,0.99
0.06,0.77,0.43
0.04,2.3,0.26
-0.88,3.36,0.0
-1.62,3.11,0.31
-1.05,1.5,-0.05
0.51,0.09,-0.68
1.9,-0.85,-0.28
2.29,-1.02,-0.45
1.63,-0.41,-0.9
0.38,-0.15,-1.16
-0.45,0.18,-1.45
-0.08,0.15,-0.98
0.4,-0.2,0.0
0.99,0.16,1.09
0.94,0.53,1.55
0.75,0.77,0.88
0.81,0.57,0.06
0.5,-0.03,-0.86
-0.22,-0.21,-1.16
-0.51,0.19,-1.45
0.18,0.5,-0.8
0.43,0.65,-0.28
0.32,-0.0,-1.12
-0.02,-0.89,-1.72
0.23,-1.39,-2.03
0.62,-1.86,-2.53
0.6,-2.36,-2.5
1.82,-1.57,-1.2
2.39,-2.16,0.09
1.32,-4.65,2.07
-1.03,-5.03,1.13
-2.68,-5.08,-1.13
-2.58,-4.61,-3.37
-1.63,-2.71,-5.08
-0.53,-1.95,-3.61
0.06,-2.21,-1.48
0.2,-2.45,-0.81
0.24,-2.82,-0.95
0.72,-2.49,-0.73
2.05,-1.02,-0.35
2.24,2.09,-0.76
1.88,4.93,0.07
1.36,4.66,1.33
0.28,2.86,4.93
-1.32,1.11,5.88
-1.11,0.69,5.52
-0.49,0.94,4.03
0.93,1.25,2.13
1.81,1.02,-0.08
2.2,-0.31,0.3
1.13,-1.52,1.64
-0.64,-1.32,2.06
-1.19,-0.5,1.5
-1.25,-0.02,0.8
-1.57,0.57,0.87
-1.03,0.82,1.15
0.32,0.56,1.65
1.3,0.31,2.11
2.26,0.02,2.3
2.25,0.35,2.04
1.86,0.58,1.54
1.04,0.99,0.85
0.48,1.34,1.03
0.66,2.06,1.28
0.7,2.32,1.61
0.69,2.39,1.07
-2.31,2.73,-9.89
-2.38,-4.92,-4.72
-1.42,-3.3,6.85
1.38,-2.65,-3.4
-4.1,-1.68,0.98
-0.3,-0.56,-1.47
-0.01,-1.94,0.01
0.51,-2.48,0.45
-1.12,-2.49,-0.02
-0.15,-2.51,0.91
1.14,-1.32,1.36
1.21,-0.0,0.81
1.3,0.43,1.72
1.26,0.78,2.48
0.4,1.22,1.58
-0.19,1.55,1.27
-0.51,1.39,1.04
0.05,1.05,-0.1
0.33,1.35,-0.93
0.42,1.78,-1.0
-0.63,2.42,-0.26
-0.7,1.65,-0.44
1.0,0.67,-0.05
2.81,-0.99,-0.12
2.17,-1.61,-1.17
0.28,-0.58,-1.56
-1.28,-0.05,-1.8
-1.28,0.33,-1.54
-0.58,0.89,0.12
0.41,0.53,0.79
1.31,0.09,0.62
1.44,-0.03,-0.08
1.12,0.3,-0.81
0.32,0.02,-1.79
-0.79,0.09,-1.85
-0.72,-0.28,-2.09
0.1,-0.02,-2.08
1.26,-0.26,-1.36
1.49,-0.51,-0.6
0.72,-0.61,-0.13
-1.14,-1.17,-0.2
0.3,-1.97,1.11
0.79,-5.89,0.91
-0.59,-6.82,0.96
-2.38,-3.78,-1.11
-1.96,-3.05,-1.86
-0.59,-3.55,-2.58
0.53,-2.89,-2.54
0.17,-2.32,-1.8
-0.58,-2.68,-1.42
-0.01,-2.9,-0.83
1.59,-1.88,-1.5
2.16,-0.79,-1.73
0.55,0.98,-1.01
-1.32,3.1,1.46
-0.65,2.6,2.41
0.44,1.29,3.64
0.2,0.6,4.75
0.06,0.2,5.1
0.51,0.26,3.21
0.94,0.56,1.67
0.82,0.6,0.48
0.83,0.62,1.82
0.25,0.48,1.96
0.2,0.23,1.7
0.29,0.29,1.71
-0.02,0.63,1.83
-0.59,1.11,1.6
0.08,1.41,1.89
0.56,1.66,2.0
0.97,1.6,2.08
1.5,1.44,2.38
1.72,1.68,2.71
1.55,2.05,2.58
1.39,2.34,2.23
1.17,2.53,2.51
1.0,2.59,2.48
-0.96,2.92,-2.32
-5.04,-1.36,-16.82
-3.31,-11.37,4.69
2.01,-2.95,-0.51
0.22,2.5,0.11
-4.69,3.19,1.8
3.07,0.27,-0.3
2.28,-2.87,0.3
-0.45,-4.58,-0.14
-2.14,-3.7,0.77
-1.07,-2.24,0.35
0.56,-1.22,-0.41
1.97,-1.21,0.45
2.39,-1.23,1.64
2.14,0.27,1.75
2.26,1.67,1.3
1.7,1.45,0.43
1.5,-0.02,0.68
1.25,-0.37,0.46
0.16,1.1,0.42
-1.69,2.65,-0.5
-3.31,2.95,-0.4
-4.3,1.6,0.08
