ax,ay,az
0.23,-0.24,0.06
0.55,-0.48,-0.84
0.83,-0.22,-1.6
0.57,0.01,-1.72
-0.0,0.05,-1.66
0.24,-0.57,-1.36
0.46,-0.43,-0.87
0.55,0.23,-0.91
0.64,0.06,-1.3
0.39,-0.01,-1.55
0.09,-0.24,-1.68
0.43,-0.73,-1.84
0.87,-1.01,-1.94
0.75,-0.95,-2.04
-0.11,-0.94,-1.96
-1.33,-1.68,-1.72
-2.35,-2.06,-1.37
-1.66,-1.38,-0.83
-0.83,-1.12,-0.08
-0.34,-1.07,0.36
-0.53,-2.29,3.01
-0.19,-2.89,4.88
1.08,-3.85,6.38
1.67,-3.65,5.61
1.56,-2.63,3.34
0.32,0.59,1.68
-0.59,1.83,1.73
-1.1,1.63,2.11
-1.55,1.92,2.73
-1.21,2.54,3.44
-0.5,2.82,4.09
0.32,2.79,3.85
0.46,3.15,3.75
-0.16,3.64,3.43
-0.98,4.07,2.52
0.27,3.35,1.76
1.99,1.57,-0.08
2.51,-0.72,-1.91
1.94,-1.12,-3.26
0.95,0.81,-3.1
0.27,2.78,-2.57
-0.49,4.18,-0.64
-1.28,2.95,1.67
-2.02,-0.25,2.16
-1.56,-2.06,-0.01
-0.35,-0.53,-2.6
-0.07,1.45,-2.36
-0.75,1.46,-1.26
-1.69,-1.35,0.04
-1.64,-6.1,2.05
-0.94,-7.84,1.91
0.91,-3.56,0.88
-0.33,-7.07,-2.93
1.62,-10.51,-2.18
-0.37,0.93,2.37
-1.0,4.32,6.92
1.38,4.28,6.39
1.88,0.24,3.29
0.6,-3.19,3.32
-1.96,-1.37,2.32
-3.18,0.58,-1.3
-0.58,0.93,-3.04
1.48,0.76,-2.02
1.3,0.06,1.03
0.65,-0.2,3.03
1.05,0.03,2.05
1.37,0.14,0.08
0.54,0.41,-1.05
-0.78,0.74,-1.08
-0.6,0.67,-1.34
0.99,0.08,-0.76
1.67,-0.09,-0.67
1.49,-0.6,-1.25
0.75,0.29,-2.11
-1.0,1.38,-2.21
-2.26,2.61,-1.98
-2.0,3.45,-1.22
-0.95,1.84,0.06
0.07,0.3,1.27
0.06,0.17,2.19
1.05,1.4,1.56
2.1,2.37,-0.91
0.76,3.47,-1.27
-1.04,3.52,-0.59
-1.27,2.25,-0.23
-0.1,2.04,-0.54
0.55,-0.02,-0.86
0.63,-4.84,-1.05
1.66,-7.76,1.83
1.43,-7.16,-0.39
0.41,-3.19,1.0
-0.75,-0.12,1.07
-0.67,-2.87,-1.79
-2.34,-8.94,-2.95
-0.53,-8.55,-0.33
0.73,-3.64,1.32
0.17,0.94,2.23
0.72,2.3,2.16
0.8,1.51,1.8
-0.06,0.67,2.48
-0.74,1.31,2.13
-0.46,1.58,2.22
0.04,2.14,2.65
0.5,2.11,2.6
0.76,1.35,2.29
0.46,1.2,2.04
-0.36,1.62,2.19
-1.1,2.41,2.43
-1.45,3.25,2.5
-0.73,3.82,2.19
1.51,3.15,1.99
2.56,1.68,0.36
1.93,-0.38,-0.64
0.5,-1.19,-1.32
0.1,-0.57,-2.43
-0.6,-0.22,-3.44
-0.44,1.35,-2.99
-0.62,2.4,-0.98
-0.85,2.17,0.43
-0.74,2.31,0.7
0.19,2.62,0.5
0.78,1.82,-0.07
0.11,-0.25,-0.42
-1.74,-3.89,-0.74
-3.82,-7.98,0.86
-2.4,-7.16,0.43
0.31,-0.35,-0.93
-0.81,-0.84,-0.49
-5.45,-14.31,1.99
0.95,-5.58,-1.0
1.45,2.25,-0.57
3.18,4.31,2.65
2.95,3.24,4.52
0.7,-0.45,3.59
0.57,-2.35,3.28
-1.17,-0.47,1.67
-1.14,0.84,-0.47
0.82,1.2,-3.05
1.58,0.66,-2.67
1.28,-0.27,-0.07
1.26,-0.86,2.69
2.12,-0.44,2.4
2.11,-0.11,0.16
1.18,0.03,-1.31
-0.38,0.58,-1.17
-1.15,1.0,-1.91
-0.59,0.9,-0.38
0.42,0.89,-0.14
1.0,0.92,-0.9
1.32,0.55,-1.49
1.33,0.81,-2.44
0.99,2.09,-2.22
-1.05,3.68,-1.17
-2.42,4.06,-0.3
-1.71,3.02,-2.05
-0.03,0.19,-2.54
-0.85,0.42,1.76
-1.81,2.45,1.63
-0.88,2.19,-1.54
1.76,0.23,-1.87
2.34,1.78,-0.23
2.06,2.56,0.58
2.34,-0.91,1.62
1.75,-6.39,1.08
1.11,-8.47,0.23
-1.28,-4.73,-1.51
-2.36,-3.69,0.17
-1.38,-9.0,-0.47
-2.17,-8.58,-0.56
-1.09,-2.72,1.18
0.24,0.31,1.33
0.68,1.96,2.07
0.38,1.97,2.11
-0.77,0.14,2.36
-1.38,-1.31,2.34
-0.54,0.06,2.1
-0.44,1.15,0.84
-0.02,0.34,0.94
-0.13,0.53,1.1
0.13,0.5,1.28
0.21,0.22,1.38
0.58,0.33,1.62
0.64,1.04,1.47
0.38,1.87,1.92
0.28,2.34,2.46
0.45,2.46,2.41
0.44,2.57,2.01
0.36,2.75,1.39
0.58,2.71,1.27
0.86,2.36,0.6
0.83,1.62,-0.27
0.71,1.34,-0.45
0.24,1.2,-0.7
-0.07,0.95,-1.51
-0.5,1.17,-1.79
-0.67,1.8,-1.44
-0.4,1.94,-0.57
-0.5,1.21,-1.27
-0.46,0.36,-1.99
0.04,-0.64,-2.38
-0.1,-0.84,-2.48
-0.82,-1.1,-1.8
-2.31,-2.71,0.65
-2.11,-4.91,3.51
-1.13,-3.04,4.72
0.72,-2.94,-1.76
-0.61,-15.7,-1.26
5.64,-8.89,-2.24
1.52,1.81,2.27
0.57,4.66,4.13
1.19,4.09,2.81
0.67,1.24,0.14
-0.09,-0.86,0.32
-2.13,-0.38,2.58
-2.81,1.53,1.68
0.5,1.31,-1.69
3.16,-0.04,-3.25
2.46,-1.3,-1.05
0.56,-1.16,0.89
-0.13,-0.33,1.28
0.15,0.32,-0.12
0.0,0.83,-1.18
-0.47,0.74,-1.19
-0.69,0.38,-0.68
-0.6,-0.1,-0.33
-0.01,0.16,0.23
1.26,0.83,0.21
2.03,1.48,-0.4
1.61,1.1,-1.11
0.35,0.61,-1.0
-1.75,0.64,0.07
-1.54,1.77,-0.67
-1.12,2.93,-1.34
-1.42,2.88,-1.24
-0.27,0.71,-1.77
0.62,0.44,-0.86
1.93,1.76,-0.03
1.76,2.39,0.95
0.89,2.63,0.01
1.07,1.89,-1.58
1.29,1.37,-0.71
0.34,1.07,-0.86
-1.08,-2.02,-1.52
-0.56,-8.66,-1.48
0.43,-8.85,-0.15
-0.22,-4.54,0.31
-0.46,-4.08,0.73
-0.27,-5.8,0.7
-1.31,-6.79,-0.2
-0.93,-4.6,1.46
-0.42,-0.61,2.41
-0.1,1.07,1.73
-0.31,0.95,1.35
-0.78,1.0,1.57
-1.11,1.67,2.12
-0.92,1.39,2.33
-0.28,0.71,2.3
0.28,0.83,1.98
0.39,1.37,1.58
0.39,1.51,1.22
0.35,0.94,1.45
0.21,0.78,0.98
0.16,0.82,0.73
0.12,1.41,1.34
0.34,1.77,1.9
0.71,2.05,2.41
0.97,2.0,2.21
0.85,2.08,1.47
0.98,1.97,0.81
1.45,1.59,0.25
1.85,0.57,-0.49
1.6,-0.45,-1.23
0.58,-0.77,-1.52
0.08,-0.34,-1.85
0.19,0.74,-1.78
-0.22,1.73,-1.59
-1.54,2.56,-0.56
-2.98,2.57,0.54
