ax,ay,az
0.51,-0.33,-2.98
-1.19,-0.22,-2.97
-4.02,-2.06,-2.42
-4.61,-3.7,-2.08
-2.04,-2.4,-0.43
2.36,-2.94,2.95
3.88,-3.3,1.3
3.26,-2.58,1.32
2.8,-1.75,3.76
0.32,-0.31,3.84
-1.16,0.79,2.85
-1.42,1.44,1.97
-0.67,1.54,1.57
0.38,1.56,1.87
0.62,1.23,2.36
0.45,1.58,2.5
-0.28,1.58,2.23
-0.92,1.85,2.47
-1.22,2.06,2.49
-0.32,2.3,1.58
0.61,2.18,0.97
0.97,1.71,0.42
1.56,0.89,-0.83
1.34,0.77,-0.89
0.67,0.79,-0.8
-0.17,0.67,-0.69
-0.31,0.99,-0.43
0.24,2.52,0.68
0.19,3.58,1.67
-0.58,3.13,1.51
-1.49,2.3,0.02
-2.11,1.19,-0.99
-2.15,0.94,-1.51
-1.26,2.12,-1.33
0.16,3.08,-1.15
0.99,2.77,-0.88
-1.18,-2.8,-1.28
-3.0,-8.62,0.06
-2.22,-10.38,-0.62
2.43,-3.03,-2.92
-0.58,-8.62,-3.7
0.62,-13.4,-4.11
-1.01,2.1,5.63
-1.13,6.51,7.26
3.55,3.71,6.97
5.87,-0.9,2.78
4.59,-3.63,4.05
1.0,-2.86,1.76
-1.75,-0.24,-1.73
-1.47,1.7,-3.39
0.62,1.88,-2.97
-0.01,1.1,-0.29
-1.39,-0.4,1.18
-1.31,-0.84,1.54
0.74,-0.25,0.34
1.68,0.01,-1.85
0.78,-0.02,-3.5
-0.49,0.11,-3.97
-0.89,0.63,-1.42
-0.14,0.48,0.37
1.05,0.2,1.23
1.74,0.17,0.91
1.27,0.31,0.45
-0.26,0.3,-1.14
-1.77,0.58,-2.92
-0.85,1.53,-4.59
1.27,1.79,-3.2
0.94,2.1,-1.1
-1.54,2.87,0.82
-1.91,1.57,-0.52
-1.12,-0.29,-2.94
-0.31,2.14,0.78
-1.89,2.97,1.8
-0.7,0.91,0.45
3.17,-0.57,-0.51
2.46,1.21,0.87
0.41,3.71,0.41
0.0,2.61,-0.33
0.93,-0.45,-1.46
2.31,-4.51,-1.75
1.95,-7.3,-1.07
1.05,-5.31,-1.6
0.54,-5.2,-0.5
-0.25,-8.59,0.65
-0.97,-6.59,-0.55
-1.85,-2.72,-0.37
-0.98,-1.74,0.12
-0.04,-0.67,1.43
0.05,0.54,3.42
-0.33,0.1,4.14
0.61,-1.15,3.59
0.91,-0.38,1.1
0.44,0.59,0.97
-0.42,0.93,0.61
-0.57,2.15,0.41
-0.36,2.24,0.62
-0.45,1.9,1.73
0.25,1.74,2.21
0.82,1.76,2.73
0.72,2.01,2.75
0.64,1.69,2.7
0.49,1.75,2.5
0.79,2.13,1.27
1.8,1.87,0.5
2.11,1.17,0.51
2.0,0.48,0.15
1.02,0.44,-0.13
0.09,1.14,-0.31
-0.3,1.92,-1.45
-1.06,2.35,-2.5
-2.59,2.19,-0.89
-3.26,1.53,1.31
-2.38,1.16,0.28
-0.95,0.91,-1.02
0.3,1.49,-1.46
0.46,2.35,-2.75
-0.18,0.96,-3.35
-1.39,-2.5,-3.01
-3.35,-8.29,-0.79
-1.72,-7.89,0.16
1.0,-1.55,1.91
-0.53,-6.63,0.59
-0.62,-16.63,-4.74
3.71,-2.24,-2.26
1.74,6.4,7.92
2.4,5.69,7.63
4.29,0.53,4.58
3.34,-3.65,3.01
0.58,-3.74,2.47
-3.87,0.31,-0.77
-3.26,2.7,-1.79
1.04,2.19,-2.34
2.75,-0.32,-1.11
1.52,-1.74,1.28
-0.07,-0.47,1.77
0.35,0.65,0.74
0.92,0.89,-0.25
0.52,0.36,-1.1
-0.44,-0.37,-2.42
-1.56,-0.05,-3.59
-1.56,-0.34,-3.16
0.22,-0.52,-1.92
1.81,-0.24,-2.05
1.41,0.64,-0.87
-0.13,1.34,-0.99
-0.17,1.49,-2.06
0.01,0.85,-2.18
-0.95,0.94,-2.2
-2.02,1.35,-1.68
-1.99,1.55,-0.68
-1.71,2.27,0.29
-0.16,3.62,0.4
1.67,4.14,1.35
1.79,2.54,0.37
1.34,0.75,-0.22
0.25,0.86,0.4
0.94,2.62,0.07
1.64,2.6,-0.58
0.48,-1.16,-0.53
0.1,-7.95,0.04
0.92,-9.81,1.17
1.22,-3.36,1.43
0.83,-9.17,0.78
-0.87,-11.82,0.92
-1.45,-4.13,-0.92
-1.41,-0.27,-1.34
-0.91,0.72,-0.88
0.3,1.39,0.55
1.1,2.41,1.54
0.84,2.51,2.74
0.7,1.71,2.05
0.42,0.53,1.61
-0.16,0.15,0.72
-0.56,-0.44,-0.73
-0.66,-0.27,-0.38
-0.31,-0.95,0.64
0.06,-0.95,1.51
0.27,-0.11,2.42
0.55,1.26,2.63
0.54,2.47,2.08
0.16,3.34,1.39
-0.52,3.19,1.89
-0.91,2.78,2.21
0.08,2.17,1.92
1.8,1.61,1.84
2.67,0.97,1.29
2.33,0.25,-0.16
1.51,-0.23,-1.23
0.66,0.06,-1.87
-0.01,0.84,-2.17
-0.2,1.06,-2.86
-1.0,0.15,-1.3
-2.6,0.53,0.33
-3.44,2.82,-0.96
-1.95,3.9,-1.35
-0.1,3.75,-2.75
1.78,2.56,-2.94
1.71,0.56,-2.21
-0.47,-1.03,-1.09
-1.98,-2.35,-0.19
-2.6,-4.32,0.7
0.71,-4.33,1.74
2.56,-3.97,2.05
-2.27,-9.67,0.71
-4.09,-16.57,-2.96
0.55,-0.82,-2.3
3.43,4.86,3.05
6.51,4.56,6.83
4.5,1.9,5.55
1.45,-2.71,3.65
-0.82,-3.73,1.77
-4.66,0.27,-0.74
-4.44,2.12,-3.24
-0.22,1.4,-4.02
2.61,-0.43,-1.59
1.66,-1.01,1.59
1.09,-0.13,4.1
1.73,0.31,0.51
1.34,0.53,-1.95
-0.2,1.15,-1.27
-1.66,0.96,-0.53
-1.36,-0.22,-0.92
-0.03,-0.5,-1.47
1.31,-0.14,-0.82
1.36,0.2,-1.6
-0.4,0.39,-1.32
-1.12,1.68,-0.86
-0.5,1.28,-0.68
-0.94,1.08,-0.47
-1.0,2.67,-1.59
0.67,3.38,-2.47
1.52,2.3,-1.91
-1.14,2.34,0.5
-0.52,3.85,1.46
0.43,3.43,-0.4
0.4,1.33,-1.37
1.91,0.21,-1.47
2.96,0.27,0.97
0.85,-0.0,0.89
0.12,-2.92,-1.84
1.22,-6.63,-2.46
0.22,-4.89,-0.15
-1.09,-3.76,-1.14
-0.8,-11.71,0.34
-1.41,-11.15,-0.14
-0.33,-4.18,0.31
0.61,-0.13,2.04
0.43,1.63,1.92
0.06,1.0,1.49
0.06,1.34,1.68
-0.0,1.68,2.01
-0.45,1.8,1.96
-1.14,2.26,1.61
-1.12,2.04,1.5
-0.14,1.32,1.67
0.34,0.49,1.21
0.28,-0.07,0.57
-0.11,0.12,-0.02
-0.4,0.45,0.49
-0.29,1.01,1.52
0.54,1.62,2.1
1.24,2.09,1.92
2.2,1.87,1.79
2.41,1.78,1.51
2.08,2.18,0.64
1.15,2.72,-0.2
0.29,2.78,-0.33
-0.27,2.37,-0.6
-1.04,1.2,-1.3
-1.58,-0.42,-1.49
-1.13,0.3,-1.21
-0.08,1.02,-1.42
0.77,1.34,-2.06
0.36,1.52,-2.02
-0.36,1.08,-2.14
-0.51,0.15,-2.07
-0.61,0.12,-1.8
-0.01,-1.84,-2.21
0.18,-4.53,-2.23
0.03,-6.57,1.31
1.34,-5.17,0.77
-1.53,-6.06,0.56
-5.96,-12.36,-1.08
-2.8,-2.74,-1.75
