ax,ay,az
-0.54,0.41,-2.97
-1.18,-0.67,-4.52
-2.21,-1.94,-3.91
-2.86,-2.4,-4.98
-2.66,-2.62,-4.47
-2.43,-1.17,-3.58
-1.52,1.16,-1.43
-1.89,1.06,0.2
-3.14,-5.17,0.64
-0.86,-6.99,-2.65
0.62,-3.62,-1.62
2.16,1.25,3.73
3.8,5.18,7.18
1.16,5.36,6.98
-1.4,0.28,2.97
-0.01,-2.47,0.9
0.73,0.95,1.07
-0.46,2.36,2.97
0.25,-0.07,2.45
4.55,-2.63,1.91
5.59,-1.34,0.42
2.17,-0.73,-0.32
-0.39,0.09,-0.58
-1.91,1.23,-1.28
-1.57,1.47,0.66
0.33,0.57,1.89
2.13,-0.35,0.76
1.92,-0.73,-0.34
1.06,-0.22,-0.7
0.23,0.44,-0.51
-0.47,0.64,-0.64
-1.11,1.27,-0.48
-0.98,1.08,-0.2
-0.28,0.09,-0.39
0.3,-0.58,-0.97
0.47,-0.87,-1.65
0.61,-0.16,-2.12
0.34,-0.05,-1.77
0.5,-0.26,-1.95
1.38,-0.25,-1.6
1.27,-0.4,-1.39
0.53,-0.31,-1.45
0.55,-0.08,-1.03
-0.07,-0.46,-0.58
-0.56,-1.19,-0.28
1.03,-4.15,-0.3
2.26,-4.07,-1.47
1.38,-2.09,-1.99
0.56,-1.8,-2.18
0.49,-2.03,-2.94
-0.57,-1.27,-3.18
-2.01,0.15,-2.97
-2.4,1.12,-4.11
-1.62,0.51,-2.6
-0.82,-0.8,-0.56
0.08,-2.35,1.93
0.68,-3.18,4.59
1.3,-2.63,5.29
1.28,-2.2,5.07
2.0,-3.03,5.87
1.37,-2.7,1.95
0.96,-1.55,0.48
0.76,-0.14,1.19
0.03,0.67,1.81
-0.47,1.08,2.64
-0.36,1.16,3.53
-0.48,1.76,4.0
-0.48,2.63,4.21
-0.37,3.21,3.67
0.2,2.96,3.03
0.59,2.42,3.01
0.54,2.35,2.99
0.48,2.51,2.26
0.1,2.62,0.58
-0.29,2.22,-0.77
-0.44,1.39,-1.37
-0.29,0.26,-3.39
-0.51,-0.39,-4.78
-1.51,-2.17,-5.98
-2.23,-4.74,-6.34
-2.29,-4.36,-4.32
-1.04,-1.27,-3.04
0.35,2.22,-1.24
-1.41,1.43,-0.42
-3.46,-7.15,-1.28
-1.56,-10.26,-3.3
-0.32,-1.27,1.81
0.29,6.0,5.62
1.19,7.24,7.03
1.61,3.41,5.94
1.49,-4.1,3.3
3.68,-4.57,3.84
1.73,-0.96,4.09
-0.62,2.18,3.73
0.23,2.07,1.77
2.08,0.35,0.58
3.0,-0.91,1.13
2.04,-1.17,0.79
0.69,-0.35,0.13
0.36,1.2,0.99
-0.13,1.49,0.36
0.48,0.05,-1.1
0.36,-0.46,-1.58
0.35,-0.54,-1.75
