ax,ay,az
2.36,-3.7,5.21
1.94,-1.85,4.7
1.96,-2.36,7.77
1.15,-2.41,4.32
1.13,-2.61,2.14
1.3,-1.99,1.23
0.76,-0.51,0.67
0.51,0.72,1.57
0.58,1.48,2.15
0.36,1.65,2.44
0.48,2.12,3.26
0.73,2.63,3.62
0.48,3.16,3.84
0.71,3.37,3.7
0.77,3.05,3.32
0.21,2.82,2.78
-0.49,3.05,2.03
-0.6,2.78,0.78
-0.25,1.61,-0.38
-0.2,-0.21,-2.19
-0.01,-2.63,-4.27
-1.17,-5.11,-6.74
-1.41,-6.34,-9.3
-0.79,-4.69,-5.89
0.33,-0.44,-2.44
0.55,4.2,-0.55
-1.61,2.36,0.91
-1.56,-5.05,0.37
-1.46,-8.68,-1.28
-0.21,-5.87,0.69
-0.46,0.7,-0.54
-0.5,8.14,5.33
-0.15,8.41,8.4
-1.8,4.56,5.17
-1.85,-0.59,2.12
1.02,-3.98,3.2
4.87,-5.01,3.86
3.72,-1.23,2.36
1.99,1.43,1.81
0.4,1.6,0.41
-0.08,0.43,-1.24
-0.2,-0.56,-1.21
-0.15,-0.52,-1.01
0.1,0.52,-0.33
0.39,0.63,0.82
1.15,0.05,1.4
1.6,-0.2,1.03
0.79,0.25,0.39
-0.34,0.85,0.0
-1.27,1.21,-0.63
-0.91,1.42,-0.45
-0.81,-0.12,-0.22
-0.17,-0.3,-0.87
0.91,0.22,-1.72
1.17,0.13,-1.76
0.55,-0.8,-1.96
0.21,-1.01,-2.08
-0.28,-1.11,-1.97
-0.22,-0.32,-2.14
1.25,-0.92,-1.76
1.91,-1.83,-0.86
1.04,-1.92,-0.96
1.3,-3.29,-1.72
2.59,-4.3,-2.67
1.92,-3.39,-2.68
-0.24,-1.79,-2.63
-0.71,-1.15,-3.48
-1.59,0.29,-4.25
-2.56,1.66,-4.51
-2.47,1.43,-2.78
-1.09,-0.48,-0.15
0.24,-2.31,1.91
2.28,-4.92,5.53
2.38,-3.12,6.16
1.78,-2.97,5.17
1.77,-3.64,3.63
1.16,-3.44,0.54
0.74,-2.04,1.62
-0.38,-0.03,3.26
-0.69,0.77,3.39
-0.2,1.15,4.15
0.52,1.27,4.72
0.83,1.69,4.25
0.88,2.63,3.77
-0.13,3.38,3.8
-0.67,4.14,4.11
-0.54,4.32,3.82
-0.19,3.83,3.11
-0.48,3.64,2.41
-0.7,3.13,1.5
-0.42,1.54,0.37
-0.18,-0.72,-1.73
-0.16,-3.11,-4.54
-1.3,-6.6,-9.7
-1.47,-8.17,-11.58
-1.1,-5.58,-5.49
0.15,0.85,-1.6
-0.91,4.71,0.03
-2.93,0.14,2.03
-3.14,-7.43,-1.77
-0.62,-7.94,2.25
-0.49,-0.03,1.19
-0.51,6.54,3.22
0.65,8.65,6.51
1.23,4.46,5.46
-0.12,-1.68,3.83
1.61,-5.72,4.17
3.4,-1.73,3.21
2.92,0.31,2.3
2.38,0.1,1.07
2.14,0.1,0.54
0.73,0.58,0.23
-0.25,-0.04,1.0
-0.5,0.04,1.3
-0.13,1.39,0.91
-0.19,1.7,0.36
0.04,0.13,0.31
-0.16,-1.07,-0.99
-0.44,-0.55,-1.75
0.05,0.05,-1.08
0.96,0.49,-0.3
1.49,0.64,0.08
1.1,0.39,0.0
0.62,-0.22,-0.45
0.61,0.03,-1.53
0.9,-0.01,-2.25
0.93,-0.16,-2.33
0.58,-0.76,-1.69
-0.38,-0.7,-1.45
-0.7,-0.05,-1.58
0.38,-0.48,-1.67
1.55,-1.63,-1.51
0.72,-1.59,-1.61
0.17,-2.28,-2.07
2.18,-5.01,-2.28
2.48,-3.87,-3.07
1.11,-2.17,-2.81
0.75,-1.73,-3.32
-0.77,-0.25,-4.52
-2.25,1.47,-4.3
-3.27,1.79,-1.78
-2.69,0.48,-0.03
-0.61,-2.37,2.4
0.93,-4.54,4.19
2.35,-4.35,6.91
2.47,-3.39,7.22
1.82,-2.31,4.53
0.49,-1.71,2.47
1.11,-1.06,2.7
0.96,0.35,2.09
0.6,1.24,2.28
-0.09,1.28,2.86
-0.38,0.84,3.44
-0.22,0.68,3.43
-0.15,1.19,3.61
0.13,2.06,3.7
0.2,2.94,3.65
0.03,3.39,3.26
0.28,3.29,2.39
-0.01,3.23,1.62
-0.34,3.14,0.93
-0.48,2.28,0.27
-0.37,0.67,-0.87
-0.39,-1.37,-3.47
-0.86,-3.42,-5.5
-0.94,-5.9,-8.48
-0.82,-5.63,-8.45
-2.05,-3.1,-5.59
-0.65,1.36,-1.27
-1.51,4.17,1.13
-2.46,-0.99,2.0
-1.61,-6.49,-1.06
-1.07,-5.37,0.56
-0.12,-0.73,2.66
-0.19,5.05,4.4
1.42,6.0,6.17
0.06,3.2,5.64
-0.72,-1.81,3.77
2.21,-3.24,3.57
3.79,-1.17,2.88
3.29,0.36,1.72
2.77,0.21,1.7
1.49,-0.22,0.99
-0.19,-0.35,-0.46
-1.18,-0.35,-1.19
-0.92,0.07,-1.38
-0.75,0.81,-0.81
-0.66,0.37,-0.5
-0.28,-0.32,-0.69
0.77,-0.55,-1.02
1.11,-0.13,-0.63
1.1,0.5,0.23
1.0,1.05,0.8
0.49,1.28,0.68
0.01,1.14,0.02
-0.1,0.7,-0.86
0.09,-0.26,-1.7
0.32,-0.61,-2.18
0.6,-1.14,-2.37
0.63,-1.23,-2.45
0.78,-0.93,-2.56
1.15,-0.69,-2.18
1.71,-0.27,-1.5
1.81,-0.73,-0.84
0.97,-1.16,-0.56
0.39,-2.99,-0.51
0.49,-4.0,-1.6
0.42,-2.75,-2.86
0.0,-2.06,-2.96
-0.06,-2.35,-3.49
-0.83,-0.87,-4.3
-2.07,0.95,-4.18
-2.36,1.45,-2.0
-1.99,0.13,0.1
-0.63,-2.39,2.61
0.52,-3.73,4.85
1.53,-2.95,5.12
2.62,-3.11,7.39
2.21,-2.67,3.85
0.78,-2.18,1.28
1.15,-1.44,1.87
0.38,0.23,2.19
0.2,1.03,2.45
-0.02,1.43,2.78
0.23,1.4,3.09
-0.05,1.61,3.53
-0.38,1.9,3.6
-0.35,2.28,3.6
-0.41,2.88,3.5
-0.36,3.54,3.34
-0.17,3.7,2.84
-0.03,3.59,2.15
-0.38,3.58,1.46
-0.36,2.66,0.31
-0.35,0.5,-2.12
-0.57,-2.93,-5.53
-1.55,-6.54,-8.51
-0.97,-8.36,-10.24
-2.11,-5.74,-6.86
-1.28,0.21,-3.18
-0.38,5.74,-0.0
-2.22,1.4,1.74
-0.43,-6.66,0.39
0.91,-5.28,2.28
0.25,-0.83,3.83
0.44,3.8,5.1
0.32,5.17,6.35
-2.46,2.35,5.1
-1.8,-0.66,4.15
1.75,-0.86,4.0
3.72,-0.68,2.56
5.34,-0.97,2.2
4.13,-0.91,1.58
0.71,-0.35,-0.37
-1.54,-0.6,-2.11
-1.43,-0.86,-3.1
-1.48,-0.2,-2.18
-0.64,0.27,-1.5
0.9,0.3,-0.35
1.75,0.2,0.34
1.28,0.58,0.81
0.99,0.89,1.47
0.91,0.84,1.22
0.62,0.84,0.57
0.23,0.91,-0.18
-0.01,0.71,-0.54
-0.09,0.17,-0.96
0.46,-0.41,-1.8
1.14,-0.57,-2.45
1.31,-1.0,-2.72
0.85,-1.06,-2.42
0.42,-0.68,-2.1
0.44,-0.12,-1.59
1.29,-0.08,-1.16
2.05,-1.01,-0.85
1.75,-2.0,-0.66
0.85,-3.42,-1.01
0.46,-3.69,-1.71
-0.27,-3.33,-2.61
-1.61,-1.17,-3.86
-1.7,-0.29,-4.55
-1.46,-0.23,-4.93
-0.72,0.23,-4.73
-0.23,-0.01,-1.31
-0.69,-1.61,1.73
-0.78,-3.53,4.15
-0.85,-3.49,4.88
0.55,-2.75,3.55
2.36,-3.05,6.15
2.4,-2.31,5.16
1.41,-1.34,1.66
1.33,-0.76,1.14
0.74,0.05,2.11
0.14,0.85,2.64
-0.12,1.29,3.31
-0.16,1.28,3.62
-0.17,1.43,3.58
-0.04,1.67,3.48
0.32,1.94,3.42
0.07,2.74,3.85
-0.03,3.55,3.63
0.5,3.75,2.64
0.33,3.42,1.89
-0.2,3.27,1.49
-0.22,2.45,0.65
-0.18,1.28,-0.17
-0.14,-2.13,-3.45
-1.22,-5.53,-7.31
-1.79,-7.41,-11.06
-1.72,-6.21,-6.32
-1.94,-1.6,-3.37
-0.04,3.34,-1.0
-0.43,5.34,0.29
-2.16,2.33,2.0
-2.54,-7.04,-0.7
-1.34,-7.04,-3.33
0.38,-2.15,0.01
1.33,3.86,3.69
0.47,7.04,9.45
-2.12,4.41,5.94
-2.39,-0.92,3.21
