ax,ay,az
0.42,-0.64,-2.0
0.12,-0.7,-2.18
0.1,-0.44,-2.33
0.51,-0.37,-2.96
0.91,-0.28,-2.97
0.74,-0.07,-2.6
0.55,-0.37,-2.79
0.73,-1.11,-3.0
1.24,-3.7,-2.54
1.34,-4.15,-2.29
0.32,-3.91,-2.37
-1.89,-2.52,-2.97
-3.5,-1.81,-2.58
-2.49,-2.54,-1.22
-1.51,-3.74,0.63
-1.91,-3.12,1.62
0.81,-2.71,5.37
2.69,-2.29,5.55
2.21,-1.9,4.16
0.55,-1.08,1.86
-0.68,-0.39,1.16
-1.09,-0.07,1.06
-1.46,-0.16,0.33
-0.81,-0.39,1.43
-0.66,0.19,2.77
0.3,-0.04,2.66
0.79,-0.47,2.44
0.68,-0.46,1.62
0.84,0.07,1.73
0.18,1.31,1.39
1.03,1.0,1.62
1.37,0.32,1.96
0.72,0.23,1.68
1.1,0.44,1.75
0.58,1.27,1.48
0.23,1.49,1.11
-0.04,1.63,0.85
0.11,1.37,1.28
0.7,1.6,1.3
0.46,2.09,1.31
0.94,1.89,1.84
0.9,1.67,1.38
0.65,1.86,0.64
-0.46,2.12,0.82
-4.79,0.86,-5.83
-6.92,-6.66,-8.28
-1.7,-4.65,1.79
4.8,4.08,0.49
-6.45,4.9,3.35
1.34,-5.1,0.21
-0.53,-5.51,-0.45
-1.53,-3.27,0.11
-0.88,-2.61,0.51
1.05,-2.54,1.34
1.72,-2.44,1.17
1.46,-2.43,1.79
1.56,-2.01,2.36
1.89,-1.01,2.79
1.54,-0.58,2.3
0.38,-0.29,2.19
-0.47,0.02,1.77
-1.14,0.54,2.11
-1.5,1.7,1.44
-1.16,2.15,0.69
0.39,1.3,0.64
1.68,0.79,0.34
2.31,0.53,-0.15
2.12,0.09,-0.17
1.76,0.07,-0.3
1.2,0.32,-1.11
0.47,0.45,-1.22
-0.05,0.11,-1.0
0.09,-0.13,-0.83
0.64,-0.09,-0.62
0.96,0.03,0.13
0.89,0.19,0.79
0.63,0.34,0.34
0.24,0.54,-0.06
-0.24,0.27,-0.11
-0.69,0.2,-0.18
-0.71,0.21,-0.82
-0.35,0.15,-0.78
0.19,0.45,-0.6
0.59,0.06,-0.25
0.44,-0.58,-0.23
0.39,-1.31,-0.43
0.26,-1.95,-1.07
0.2,-2.75,-0.4
0.85,-4.65,1.46
1.32,-6.58,2.33
-0.42,-5.59,0.13
-3.23,-4.54,-1.4
-3.23,-3.23,-3.73
-0.56,-2.5,-4.57
0.78,-1.47,-4.13
0.16,-1.34,-3.58
-0.17,-2.2,-3.21
1.0,-2.73,-3.57
2.67,-1.66,-2.59
1.85,0.43,-0.15
-0.57,1.48,1.36
-2.01,1.13,3.78
-2.82,1.07,6.45
-2.53,0.26,6.4
-1.25,-0.1,2.7
-0.32,0.68,1.15
1.31,0.86,1.63
2.81,0.86,2.55
2.28,0.33,2.82
1.25,0.46,2.19
0.56,0.5,1.74
-0.36,0.73,2.17
-0.82,1.08,2.78
-0.33,1.31,2.81
1.35,0.68,2.57
2.07,0.29,2.48
2.0,0.55,3.03
1.72,1.34,3.06
1.59,2.16,2.7
1.22,2.36,2.78
1.09,2.33,2.36
0.85,2.3,1.91
0.37,2.36,1.02
-4.71,2.7,-19.02
-2.09,-11.34,0.37
-2.81,-3.98,0.09
-1.07,-0.48,-0.83
-3.57,2.34,1.84
4.56,0.93,-1.66
0.07,-3.47,-0.43
-1.69,-5.69,2.18
-1.69,-4.98,0.63
1.24,-3.34,-0.79
1.87,-1.5,1.09
0.87,-0.48,1.83
1.59,-0.33,1.83
1.92,-0.12,1.81
1.39,0.41,1.13
0.15,0.23,1.49
-0.7,0.01,1.25
-0.75,1.25,0.89
0.23,2.56,0.37
0.81,2.75,-0.59
1.07,2.16,-0.71
0.87,1.38,0.1
0.64,0.34,0.29
0.5,-0.43,-0.3
0.46,0.19,-1.61
-0.25,0.34,-2.4
-0.54,0.49,-1.93
-0.09,0.19,-1.87
0.5,-0.2,-1.52
0.31,-0.67,-0.97
0.02,-0.27,0.33
0.08,0.15,0.18
0.69,0.34,-1.11
0.84,0.09,-0.82
0.42,0.61,0.36
0.15,0.98,0.84
0.21,0.54,0.18
0.02,-0.01,0.05
0.47,0.09,-0.54
0.84,0.09,-1.19
1.04,-0.79,-1.37
0.98,-1.65,-1.16
0.35,-2.28,-1.44
0.57,-2.99,-1.02
1.78,-4.29,-1.19
1.41,-5.52,0.05
-1.95,-3.77,0.13
-3.6,-3.37,-1.27
-2.1,-3.4,-2.38
-0.08,-3.69,-2.23
0.51,-3.86,-3.2
0.09,-3.38,-3.65
