ax,ay,az
3.46,-1.79,-1.64
2.95,-2.15,-1.93
0.21,-1.4,-2.09
0.0,-2.53,-2.16
2.09,-5.05,-2.94
1.87,-3.64,-2.75
0.52,-2.09,-2.57
0.07,-1.46,-4.76
-0.96,-0.87,-4.76
-3.0,0.31,-3.35
-3.64,-1.08,-0.81
-2.1,-3.58,1.78
-0.58,-4.38,4.47
-0.42,-2.75,5.28
1.9,-1.89,8.94
2.54,-1.98,5.22
1.78,-1.83,1.8
1.36,-0.89,1.82
1.15,-0.13,2.86
0.83,0.64,2.95
0.14,1.4,3.48
-0.51,1.9,3.65
-0.81,2.35,4.14
-0.46,2.4,4.14
0.04,2.37,4.17
0.13,2.8,4.11
0.11,3.29,3.65
0.31,4.02,2.89
-0.17,4.07,1.3
-0.37,3.5,0.05
0.12,1.06,-0.71
-0.38,-1.68,-3.39
-1.51,-3.83,-4.8
-2.44,-5.09,-6.39
-2.82,-4.76,-7.1
-3.06,-3.68,-4.88
-0.78,0.2,-2.11
0.29,3.81,0.03
-1.79,2.28,0.35
-2.87,-6.94,-1.24
-2.05,-11.62,-3.85
-0.09,-3.16,3.65
-0.7,5.92,4.68
-1.17,9.47,9.46
-1.52,6.29,5.68
2.1,-1.27,4.77
6.7,-6.3,4.4
6.7,-4.58,4.86
2.08,0.09,2.91
0.95,1.48,0.92
1.66,0.74,0.87
1.26,-0.06,-0.33
-0.1,-0.65,-1.93
-2.06,0.57,-0.9
-1.99,1.85,0.74
-0.88,1.67,1.45
0.6,0.46,0.65
2.01,-0.36,-0.47
2.17,0.17,-0.54
1.54,-0.08,0.27
0.41,0.29,0.38
-0.21,0.72,-0.61
-0.39,0.66,-1.43
-0.38,-0.09,-1.46
-0.14,-0.9,-2.04
0.61,-0.64,-2.69
0.82,-1.02,-2.57
-0.2,-0.46,-2.38
-0.21,0.24,-1.72
1.98,-0.33,-0.89
3.83,-2.1,-0.9
2.1,-2.09,-1.33
-0.49,-1.65,-2.22
0.3,-3.52,-3.19
2.04,-4.8,-3.94
1.06,-2.97,-3.03
0.01,-1.51,-3.46
0.09,-1.44,-4.53
-1.23,0.0,-3.79
-2.78,0.6,-2.27
-2.35,-1.34,0.07
-0.76,-3.82,1.7
0.47,-4.57,4.59
0.82,-3.28,7.07
0.83,-2.04,6.46
1.14,-1.82,4.33
0.48,-1.96,1.34
0.75,-1.27,2.34
0.9,-0.16,2.61
0.76,0.8,2.96
